artists,year,type,genre
Eminem (Marshall Bruce Mathers III),"1990, 2000, 2010","Solo, Male","POP, Rock/Metal, Rap/Hiphop, R&B/Soul, Blues, World"
FTISLAND (FT아일랜드),"2000, 2010","Group, Male","Ballad, Dance, Rock/Metal"
f(x),"2000, 2010","Group, Female","Ballad, Dance, Electronica"
Fall Out Boy,"2000, 2010","Group, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, Country, EDM"
Forestella,2010,"Group, Male","Classics, Crossover"
FANXY CHILD,2010,"Group, Male",Rap/Hiphop
GRAY (그레이),2010,"Solo, Male","Ballad, Rap/Hiphop, R&B/Soul, Indie"
G-DRAGON (권지용),"2000, 2010","Solo, Male","Ballad, Dance, POP, Rap/Hiphop, R&B/Soul, J-POP"
god,"1990, 2000, 2010","Group, Male","Ballad, Dance, POP, Electronica, Rap/Hiphop, R&B/Soul, Kids, Comedy"
Green Day,"1990, 2000, 2010","Group, Male","POP, Rock/Metal, Electronica, R&B/Soul"
Gregory Porter,"1990, 2000, 2010","Solo, Male","Dance, POP, Rock/Metal, Electronica, R&B/Soul, Blues, Classics, Crossover, Jazz, VocalJazz, "
Hash Swan,2010,"Solo, Male","Rap/Hiphop, R&B/Soul, Indie"
H.O.T.,"1990, 2000",2001,그룹|남성
HYNN(박혜원),2010,"Solo, Female",Ballad
Halsey,2010,"Solo, Female","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, EDM"
HONNE,2010,"Group, Male","POP, Rock/Metal, Electronica, R&B/Soul"
IZ*ONE (아이즈원),2010,"Group, Female","Ballad, Dance"
ITZY (있지),2010,"Group, Female","Dance, Rock/Metal"
iKON,2010,"Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul"
Imagine Dragons,2010,"Group, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, EDM"
I`ll (아일),2010,"Solo, Male","Ballad, Rock/Metal"
J.Fla,2010,"Solo, Female","Ballad, Dance, R&B/Soul, Indie, Rock/Metal, Electronica"
Jvcki Wai,2010,"Solo, Female",Rap/Hiphop
Justin Bieber (Justin Drew Bieber),"2000, 2010","Solo, Male","POP, Rock/Metal, R&B/Soul, Blues, Country"
j-hope,2010,"Solo, Male",빅히트엔터테인먼트
Joji,2010,"Solo, Male","POP, Electronica, Rap/Hiphop, R&B/Soul"
Kid Milli (최원재),2010,"Solo, Male","Rap/Hiphop, Indie"
Kanye West (Kanye Omari West ),"1990, 2000, 2010","Solo, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, World, CCM, 국외CCM"
keshi,2010,"Solo, Male","POP, Rap/Hiphop, R&B/Soul"
Keith Ape (이동헌),2010,"Solo, Male","Indie, POP, Rap/Hiphop, R&B/Soul"
Lauv,2010,"Solo, Male","POP, Electronica, EDM"
Lana Del Rey (Elizabeth Woolridge Grant),"2000, 2010","Solo, Female","POP, Rock/Metal, Electronica, Country"
Lil Cherry,2010,Solo,"Rap/Hiphop, Indie"
Lizzo,2010,"Solo, Female","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, EDM"
Maroon 5,"2000, 2010","Group, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, Country, EDM"
Moon (혜원) (문혜원),2000,"Solo, Female","Ballad, Jazz, VocalJazz, Acid/Fusion/Pop, BossaNova"
MC 몽 (신동현),"1990, 2000","Solo, Male","Ballad, Dance, R&B/Soul, Rap/Hiphop"
MINO (송민호),2010,"Solo, Male","Dance, Rock/Metal, Rap/Hiphop, R&B/Soul"
Marshmello,2010,"Solo, Male","POP, Electronica, Rap/Hiphop, R&B/Soul, EDM"
NO:EL (장용준),2010,"Solo, Male","Rap/Hiphop, Indie"
NCT DREAM,2010,"Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Rock/Metal"
NCT,2010,"Group, Male",Dance
NCT 127,2010,"Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Rock/Metal, Electronica"
Nicki Minaj (Onika Tanya Maraj),2010,"Solo, Female","POP, Electronica, Rap/Hiphop, R&B/Soul"
Oasis,"1990, 2000",2009,그룹|남성
One Direction,2010,"Group, Male","POP, Rock/Metal, World"
offonoff (오프온오프),2010,"Group, Male","Electronica, R&B/Soul"
Osshun Gum (최하민),2010,"Solo, Male",Rap/Hiphop
OneRepublic,"2000, 2010","Group, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, Blues, Country, EDM"
Post Malone,2010,"Solo, Male","Rock/Metal, Electronica, Rap/Hiphop, Country"
pH-1 (박준원),2010,"Solo, Male","Indie, Rap/Hiphop, R&B/Soul"
PRODUCE X 101,2010,"Group, Male","Ballad, Dance"
Pink Sweat$,2010,"Solo, Male",R&B/Soul
PRODUCE 101,2010,"Group, Male","Ballad, Dance"
